_id,id,home_team_id,away_team_id,home_score,away_score,home_scorers,away_scorers,group,matchday,local_date,persian_date,stadium_id,finished,time_elapsed,type,homeTeam,visitingTeam,date,createdAt,__v
698715d986f40cb8740e2727,1,1,2,0,0,null,null,A,1,06/11/2026 13:00,1405-03-21 13:00,1,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-11T09:30:00.000Z,2026-02-07T10:37:13.443Z,0
698715d986f40cb8740e2729,2,3,4,0,0,null,null,A,1,06/11/2026 20:00,1405-03-21 20:00,2,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-11T16:30:00.000Z,2026-02-07T10:37:13.461Z,0
698715d986f40cb8740e272b,3,5,6,0,0,null,null,B,1,06/12/2026 15:00,1405-03-22 15:00,3,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-12T11:30:00.000Z,2026-02-07T10:37:13.463Z,0
698715d986f40cb8740e272d,4,13,14,0,0,null,null,D,1,06/12/2026 18:00,1405-03-22 18:00,4,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-12T14:30:00.000Z,2026-02-07T10:37:13.465Z,0
698715d986f40cb8740e272f,5,11,12,0,0,null,null,C,1,06/13/2026 21:00,1405-03-23 21:00,5,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-13T17:30:00.000Z,2026-02-07T10:37:13.467Z,0
698715d986f40cb8740e2731,6,15,16,0,0,null,null,D,1,06/13/2026 12:00,1405-03-23 12:00,6,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-13T08:30:00.000Z,2026-02-07T10:37:13.468Z,0
698715d986f40cb8740e2733,7,9,10,0,0,null,null,C,1,06/13/2026 18:00,1405-03-23 18:00,7,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-13T14:30:00.000Z,2026-02-07T10:37:13.470Z,0
698715d986f40cb8740e2735,8,7,8,0,0,null,null,B,1,06/13/2026 12:00,1405-03-23 12:00,8,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-13T08:30:00.000Z,2026-02-07T10:37:13.471Z,0
698715d986f40cb8740e2737,9,19,20,0,0,null,null,E,1,06/14/2026 18:00,1405-03-24 18:00,9,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-14T14:30:00.000Z,2026-02-07T10:37:13.473Z,0
698715d986f40cb8740e2739,10,17,18,0,0,null,null,E,1,06/14/2026 12:00,1405-03-24 12:00,10,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-14T08:30:00.000Z,2026-02-07T10:37:13.474Z,0
698715d986f40cb8740e273b,11,21,22,0,0,null,null,F,1,06/14/2026 15:00,1405-03-24 15:00,11,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-14T11:30:00.000Z,2026-02-07T10:37:13.476Z,0
698715d986f40cb8740e273d,12,23,24,0,0,null,null,F,1,06/14/2026 21:00,1405-03-24 21:00,12,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-14T17:30:00.000Z,2026-02-07T10:37:13.478Z,0
698715d986f40cb8740e273f,13,27,28,0,0,null,null,G,1,06/15/2026 18:00,1405-03-25 18:00,13,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-15T14:30:00.000Z,2026-02-07T10:37:13.480Z,0
698715d986f40cb8740e2741,14,29,30,0,0,null,null,H,1,06/15/2026 12:00,1405-03-25 12:00,14,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-15T08:30:00.000Z,2026-02-07T10:37:13.481Z,0
698715d986f40cb8740e2743,15,25,26,0,0,null,null,G,1,06/15/2026 15:00,1405-03-25 15:00,15,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-15T11:30:00.000Z,2026-02-07T10:37:13.482Z,0
698715d986f40cb8740e2745,16,31,32,0,0,null,null,H,1,06/15/2026 21:00,1405-03-25 21:00,16,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-15T17:30:00.000Z,2026-02-07T10:37:13.484Z,0
698715d986f40cb8740e2747,17,33,34,0,0,null,null,I,1,06/16/2026 15:00,1405-03-26 15:00,1,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-16T11:30:00.000Z,2026-02-07T10:37:13.485Z,0
698715d986f40cb8740e2749,18,35,36,0,0,null,null,I,1,06/16/2026 18:00,1405-03-26 18:00,2,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-16T14:30:00.000Z,2026-02-07T10:37:13.487Z,0
698715d986f40cb8740e274b,19,37,38,0,0,null,null,J,1,06/16/2026 20:00,1405-03-26 20:00,3,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-16T16:30:00.000Z,2026-02-07T10:37:13.488Z,0
698715d986f40cb8740e274d,20,39,40,0,0,null,null,J,1,06/16/2026 12:00,1405-03-26 12:00,4,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-16T08:30:00.000Z,2026-02-07T10:37:13.489Z,0
698715d986f40cb8740e274f,21,41,42,0,0,null,null,K,1,06/17/2026 12:00,1405-03-27 12:00,5,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-17T08:30:00.000Z,2026-02-07T10:37:13.492Z,0
698715d986f40cb8740e2751,22,45,46,0,0,null,null,L,1,06/17/2026 15:00,1405-03-27 15:00,6,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-17T11:30:00.000Z,2026-02-07T10:37:13.493Z,0
698715d986f40cb8740e2753,23,43,44,0,0,null,null,K,1,06/17/2026 18:00,1405-03-27 18:00,7,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-17T14:30:00.000Z,2026-02-07T10:37:13.495Z,0
698715d986f40cb8740e2755,24,47,48,0,0,null,null,L,1,06/17/2026 21:00,1405-03-27 21:00,8,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-17T17:30:00.000Z,2026-02-07T10:37:13.496Z,0
698715d986f40cb8740e2757,25,1,3,0,0,null,null,A,2,06/18/2026 13:00,1405-03-28 13:00,9,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-18T09:30:00.000Z,2026-02-07T10:37:13.498Z,0
698715d986f40cb8740e2759,26,8,6,0,0,null,null,B,2,06/18/2026 12:00,1405-03-28 12:00,10,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-18T08:30:00.000Z,2026-02-07T10:37:13.500Z,0
698715d986f40cb8740e275b,27,5,7,0,0,null,null,B,2,06/18/2026 15:00,1405-03-28 15:00,11,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-18T11:30:00.000Z,2026-02-07T10:37:13.501Z,0
698715d986f40cb8740e275d,28,4,2,0,0,null,null,A,2,06/18/2026 18:00,1405-03-28 18:00,12,FALSE,notstarted,group,698715d47f2bf926c1b297bc,698715d47f2bf926c1b297bc,2026-06-18T14:30:00.000Z,2026-02-07T10:37:13.502Z,0
